Date,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,Category,Subcategory,Country,City,IsFraud,Notes,CustomerSince,Amount_IDR,BalanceCategory
2025-04-03,DEBIT,47.36,USD ,80.6864,-1714968.59,ShopEasy,Education,Books,UK,Pune,TRUE,REPEAT PURCHASE,2018.0,726048.50176,Negative
2024-10-08,DEBIT,159.55,INR,1.0,-1162428.75,AutoZone,Entertainment,Concert,Australia,Delhi,TRUE,CASHBACK CREDITED,2022.0,30314.500000000004,Negative
2024-09-14,DEBIT,2.43,GBP,102.0148,-2085783.34,BigBasket,Groceries,Specialty,USA,Gurugram,TRUE,CASHBACK CREDITED,,47100.233159999996,Negative
2024-12-21,REFUND,78.96,AED,18.1216,-2727243.49,ShopEasy,Dining,Restaurant,Australia,Mumbai,TRUE,SUSPECTED FRAUD,,271867.49184,Negative
2024-04-14,REFUND,42.81,USD,78.4379,-259175.06,LocalMart,Dining,FastFood,USA,Mumbai,TRUE,CASHBACK CREDITED,2023.0,638006.03481,Negative
2025-05-20,REFUND,25.28,INR,1.0,-2681033.19,Amazon,Utilities,Electricity,India,Hyderabad,TRUE,,2015.0,4803.2,Negative
2023-09-14,CREDIT,30.06,USD,80.9396,-1641954.78,Starbucks,Utilities,Electricity,India,Jaipur,TRUE,MANUAL ADJUSTMENT,2025.0,462278.43143999996,Negative
2023-10-23,CREDIT,15.91,INR,1.0,-2238462.32,AutoZone,Travel,Flight,UAE,Mumbai,TRUE,,2021.0,3022.9,Negative
2023-10-31,REFUND,33.37,GBP,109.7276,-1773994.74,Myntra,Automotive,Fuel,UK,Jaipur,TRUE,MANUAL ADJUSTMENT,,695705.9022799999,Negative
2024-02-07,REFUND,41.34,USD,82.68,-445835.54,Reliance,Health,Clinic,UK,Pune,TRUE,REPEAT PURCHASE,,649418.3280000001,Negative
2024-07-08,DEBIT,33.37,GBP,96.0691,-1168892.39,ShopEasy,Automotive,Fuel,USA,Gurugram,TRUE,MONTHLY SUBSCRIPTION,,609106.91473,Negative
2024-10-13,REFUND,12.31,INR,1.0,-2419825.46,Zomato,Education,Books,UK,Noida,TRUE,PROMO APPLIED,,2338.9,Negative
2023-11-01,DEBIT,35.17,AED,19.8767,-2678063.64,Flipkart,Entertainment,Concert,USA,Mumbai,TRUE,REPEAT PURCHASE,,132822.07241,Negative
2025-02-24,CREDIT,8.82,AED,20.55,-1626685.13,Paytm Mall,Dining,Restaurant,Canada,Pune,TRUE,REPEAT PURCHASE,2015.0,34437.69,Negative
